epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,42.4254,0.45471,3.8159,0.96154,0.01335,1,0.53304,0.46128,0.32705,3.42869,0.83409,5.2e-05,5.2e-05,5.2e-05
42,43.2993,0.45813,3.7822,0.85236,0.01335,1,0.53304,0.46128,0.32705,3.42869,0.83409,4.82263e-05,4.82263e-05,4.82263e-05
43,44.7927,0.49475,3.70378,0.94526,0.01389,1,0.53304,0.46921,0.31708,3.43828,0.83118,4.4205e-05,4.4205e-05,4.4205e-05
44,45.6552,0.49548,3.70926,0.86642,0.01389,1,0.53304,0.46921,0.31708,3.43828,0.83118,3.99363e-05,3.99363e-05,3.99363e-05
45,46.4407,0.48837,3.89259,0.92353,0.01334,1,0.53577,0.47756,0.32198,3.44574,0.83229,3.542e-05,3.542e-05,3.542e-05
46,47.2274,0.46417,3.64778,0.86101,0.01334,1,0.53577,0.47756,0.32198,3.44574,0.83229,3.06562e-05,3.06562e-05,3.06562e-05
47,48.0373,0.38215,3.58479,0.84768,0.01361,1,0.56857,0.48766,0.31364,3.44887,0.8332,2.5645e-05,2.5645e-05,2.5645e-05
48,48.9287,0.40229,3.69524,0.84723,0.01361,1,0.56857,0.48766,0.31364,3.44887,0.8332,2.03863e-05,2.03863e-05,2.03863e-05
49,49.7314,0.38798,3.73994,0.8535,0.01333,1,0.597,0.50326,0.31327,3.44586,0.83626,1.488e-05,1.488e-05,1.488e-05
50,50.5532,0.29798,3.50201,0.80698,0.01333,1,0.597,0.50326,0.31327,3.44586,0.83626,9.12625e-06,9.12625e-06,9.12625e-06
