epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,106.282,1.2899,0.66334,1.02413,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000141456,0.000141456,0.000141456
44,108.186,1.30936,0.67163,1.00512,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000127796,0.000127796,0.000127796
45,110.291,1.28106,0.66882,1.00854,0.95629,0.99471,0.99326,0.74977,0.99525,0.60392,0.99,0.000113344,0.000113344,0.000113344
46,112.209,1.41648,0.67973,1.08353,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,9.81e-05,9.81e-05,9.81e-05
47,114.083,1.41239,0.65707,1.1441,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,8.2064e-05,8.2064e-05,8.2064e-05
48,116.163,1.25144,0.63858,0.96382,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,6.5236e-05,6.5236e-05,6.5236e-05
49,118.013,1.15567,0.5999,0.92152,0.95638,0.9967,0.99326,0.753,0.98907,0.59505,0.98608,4.7616e-05,4.7616e-05,4.7616e-05
50,119.838,1.2058,0.60752,0.94378,0.95401,1,0.99326,0.75377,0.9799,0.58611,0.9815,2.9204e-05,2.9204e-05,2.9204e-05
1,4.23359,1.89095,3.53506,1.26797,0.07535,0.09091,0.02372,0.00249,1.40421,4.27784,1.24196,0,0,0
2,5.93338,2.28541,3.56837,1.28314,0.10841,0.09091,0.02519,0.00264,1.41063,4.28374,1.24445,1.9604e-05,1.9604e-05,1.9604e-05
3,7.39944,1.98495,3.60136,1.3031,0.12534,0.09091,0.0272,0.00284,1.40883,4.27645,1.24461,3.8416e-05,3.8416e-05,3.8416e-05
4,8.65509,2.04857,3.2834,1.27369,0.11413,0.09091,0.03511,0.00363,1.40072,4.2715,1.24436,5.6436e-05,5.6436e-05,5.6436e-05
5,10.0726,2.10447,3.50681,1.4592,0.13481,0.09091,0.0304,0.00325,1.39808,4.27301,1.24457,7.3664e-05,7.3664e-05,7.3664e-05
6,10.8437,2.07929,3.67452,1.37208,0.43665,0.31715,0.27066,0.08229,1.19678,2.7782,1.12783,9.01e-05,9.01e-05,9.01e-05
7,14.2574,1.84279,2.25075,1.15331,0.89625,0.77273,0.93368,0.57798,1.01847,1.36509,1.03618,0.000105744,0.000105744,0.000105744
8,17.7666,1.75132,1.31844,1.03377,0.91319,0.95455,0.96667,0.67365,0.99781,0.99732,1.00905,0.000120596,0.000120596,0.000120596
9,21.106,1.54298,1.0842,1.08161,0.94754,0.95455,0.97657,0.70104,1.01873,0.99129,1.00696,0.000134656,0.000134656,0.000134656
10,24.4792,1.51193,1.18887,1.10979,0.78948,0.95455,0.95034,0.71997,0.96752,0.96665,0.98128,0.000147924,0.000147924,0.000147924
11,27.9414,1.60908,0.96364,1.00841,0.94662,0.80647,0.9428,0.72723,0.92123,0.8789,0.9621,0.0001604,0.0001604,0.0001604
12,31.6227,1.54645,0.82521,1.01901,0.9162,0.99409,0.9853,0.77169,0.91104,0.7396,0.96828,0.000172084,0.000172084,0.000172084
13,35.0269,1.56537,0.88323,1.10428,0.99469,1,0.995,0.78096,0.91315,0.68761,0.96861,0.000182976,0.000182976,0.000182976
14,38.3643,1.75461,0.88444,1.06378,0.99125,1,0.995,0.76697,0.93167,0.69603,0.97306,0.000193076,0.000193076,0.000193076
15,40.1594,1.4945,0.76918,1.07631,0.97834,1,0.995,0.75861,0.94911,0.79026,0.97876,0.000202384,0.000202384,0.000202384
16,42.0617,1.57165,0.7691,1.09846,0.94421,1,0.995,0.76172,0.94576,0.88167,0.9791,0.0002109,0.0002109,0.0002109
17,44.1199,1.35511,0.77949,1.01958,0.97355,1,0.995,0.76406,0.9479,0.79451,0.98188,0.000218624,0.000218624,0.000218624
18,45.9488,1.27108,0.68101,0.94808,0.97355,1,0.995,0.76406,0.9479,0.79451,0.98188,0.000225556,0.000225556,0.000225556
19,47.8523,1.54519,0.74697,1.05166,1,0.99795,0.995,0.77436,0.94449,0.68402,0.98454,0.000231696,0.000231696,0.000231696
20,49.7772,1.41976,0.76428,0.99331,1,0.99795,0.995,0.77436,0.94449,0.68402,0.98454,0.000237044,0.000237044,0.000237044
21,51.6037,1.46026,0.76577,0.96862,0.99448,1,0.995,0.76088,0.94751,0.6282,0.98846,0.0002416,0.0002416,0.0002416
22,53.4255,1.37884,0.70708,0.94374,0.99448,1,0.995,0.76088,0.94751,0.6282,0.98846,0.000245364,0.000245364,0.000245364
23,55.423,1.30271,0.66455,0.99643,0.99434,1,0.995,0.76214,0.95379,0.64473,0.99027,0.000248336,0.000248336,0.000248336
24,57.3363,1.18487,0.66378,1.005,0.99434,1,0.995,0.76214,0.95379,0.64473,0.99027,0.000250516,0.000250516,0.000250516
25,59.1701,1.32691,0.72279,0.96911,0.99642,1,0.995,0.76112,0.93049,0.72624,0.98356,0.000251904,0.000251904,0.000251904
26,61.0248,1.22977,0.62842,0.91223,0.99642,1,0.995,0.76112,0.93049,0.72624,0.98356,0.0002525,0.0002525,0.0002525
27,62.853,1.21158,0.6327,0.97085,0.99187,0.95455,0.99167,0.75518,0.9625,0.75949,1.00016,0.000252304,0.000252304,0.000252304
28,64.9153,1.44917,0.69873,0.95308,0.99187,0.95455,0.99167,0.75518,0.9625,0.75949,1.00016,0.000251316,0.000251316,0.000251316
29,66.7607,1.31883,0.63247,0.96681,1,0.95136,0.99167,0.74563,0.99774,0.72397,1.01805,0.000249536,0.000249536,0.000249536
30,68.6955,1.27108,0.61613,0.9266,1,0.95136,0.99167,0.74563,0.99774,0.72397,1.01805,0.000246964,0.000246964,0.000246964
31,70.5314,1.17959,0.56996,0.96875,0.91608,0.99263,0.9875,0.72614,1.05341,0.70032,1.03308,0.0002436,0.0002436,0.0002436
32,72.5249,1.14495,0.57675,0.93235,0.91608,0.99263,0.9875,0.72614,1.05341,0.70032,1.03308,0.000239444,0.000239444,0.000239444
33,74.3317,1.20773,0.6197,0.90183,0.91643,0.99704,0.98939,0.69897,1.11036,0.70054,1.05469,0.000234496,0.000234496,0.000234496
34,76.1399,1.28212,0.64297,1.00608,0.91643,0.99704,0.98939,0.69897,1.11036,0.70054,1.05469,0.000228756,0.000228756,0.000228756
35,77.971,1.4273,0.62455,1.00189,0.95603,0.98865,0.99109,0.6968,1.10909,0.69158,1.05344,0.000222224,0.000222224,0.000222224
36,79.8448,1.21293,0.56936,0.98288,0.95603,0.98865,0.99109,0.6968,1.10909,0.69158,1.05344,0.0002149,0.0002149,0.0002149
37,81.9864,1.10963,0.58556,0.97452,0.9523,1,0.99109,0.73353,1.04394,0.64211,1.03105,0.000206784,0.000206784,0.000206784
38,83.8555,1.38142,0.64496,1.08186,0.9523,1,0.99109,0.73353,1.04394,0.64211,1.03105,0.000197876,0.000197876,0.000197876
39,85.6664,1.1095,0.56863,0.95941,0.9944,1,0.995,0.72941,1.04517,0.61494,1.03197,0.000188176,0.000188176,0.000188176
40,87.6041,1.1408,0.57676,0.91128,0.9944,1,0.995,0.72941,1.04517,0.61494,1.03197,0.000177684,0.000177684,0.000177684
41,90.1731,1.14362,0.60178,0.95553,0.99685,1,0.995,0.72444,1.09232,0.59841,1.04969,0.0001664,0.0001664,0.0001664
42,92.0768,1.2327,0.59454,1.00453,0.99685,1,0.995,0.72444,1.09232,0.59841,1.04969,0.000154324,0.000154324,0.000154324
43,94.0823,1.23219,0.60064,1.01393,0.99695,1,0.995,0.72579,1.09644,0.56296,1.05406,0.000141456,0.000141456,0.000141456
44,95.9701,1.22196,0.60446,1.00096,0.99695,1,0.995,0.72579,1.09644,0.56296,1.05406,0.000127796,0.000127796,0.000127796
45,97.8403,1.20437,0.55728,0.99302,0.9973,1,0.995,0.72678,1.07033,0.5343,1.04309,0.000113344,0.000113344,0.000113344
46,100.017,1.28021,0.56334,1.0662,0.9973,1,0.995,0.72678,1.07033,0.5343,1.04309,9.81e-05,9.81e-05,9.81e-05
47,101.866,1.26795,0.57376,1.09676,0.99746,1,0.995,0.73894,1.04582,0.50988,1.0328,8.2064e-05,8.2064e-05,8.2064e-05
48,103.776,1.12933,0.55181,0.94631,0.99746,1,0.995,0.73894,1.04582,0.50988,1.0328,6.5236e-05,6.5236e-05,6.5236e-05
49,105.746,1.09955,0.54428,0.92584,0.99758,1,0.995,0.73679,1.03419,0.49646,1.0255,4.7616e-05,4.7616e-05,4.7616e-05
50,107.841,1.16091,0.54142,0.94228,0.99758,1,0.995,0.73679,1.03419,0.49646,1.0255,2.9204e-05,2.9204e-05,2.9204e-05
1,0.98779,1.89095,3.53506,1.26797,0.07535,0.09091,0.02372,0.00249,1.40421,4.27784,1.24196,0,0,0
2,2.3764,2.28541,3.56837,1.28314,0.10841,0.09091,0.02519,0.00264,1.41063,4.28374,1.24445,1.9604e-05,1.9604e-05,1.9604e-05
3,3.77851,1.98495,3.60136,1.3031,0.12534,0.09091,0.0272,0.00284,1.40883,4.27645,1.24461,3.8416e-05,3.8416e-05,3.8416e-05
4,5.10954,2.04857,3.2834,1.27369,0.11413,0.09091,0.03511,0.00363,1.40072,4.2715,1.24436,5.6436e-05,5.6436e-05,5.6436e-05
5,6.4811,2.10447,3.50681,1.4592,0.13481,0.09091,0.0304,0.00325,1.39808,4.27301,1.24457,7.3664e-05,7.3664e-05,7.3664e-05
6,7.34077,2.07929,3.67452,1.37208,0.43665,0.31715,0.27066,0.08229,1.19678,2.7782,1.12783,9.01e-05,9.01e-05,9.01e-05
7,10.6985,1.84279,2.25075,1.15331,0.89625,0.77273,0.93368,0.57798,1.01847,1.36509,1.03618,0.000105744,0.000105744,0.000105744
8,14.0917,1.75132,1.31844,1.03377,0.91319,0.95455,0.96667,0.67365,0.99781,0.99732,1.00905,0.000120596,0.000120596,0.000120596
9,17.5813,1.54298,1.0842,1.08161,0.94754,0.95455,0.97657,0.70104,1.01873,0.99129,1.00696,0.000134656,0.000134656,0.000134656
10,20.989,1.51193,1.18887,1.10979,0.78948,0.95455,0.95034,0.71997,0.96752,0.96665,0.98128,0.000147924,0.000147924,0.000147924
11,24.4254,1.60908,0.96364,1.00841,0.94662,0.80647,0.9428,0.72723,0.92123,0.8789,0.9621,0.0001604,0.0001604,0.0001604
12,28.0231,1.54645,0.82521,1.01901,0.9162,0.99409,0.9853,0.77169,0.91104,0.7396,0.96828,0.000172084,0.000172084,0.000172084
13,31.4343,1.56537,0.88323,1.10428,0.99469,1,0.995,0.78096,0.91315,0.68761,0.96861,0.000182976,0.000182976,0.000182976
14,34.9249,1.75461,0.88444,1.06378,0.99125,1,0.995,0.76697,0.93167,0.69603,0.97306,0.000193076,0.000193076,0.000193076
15,36.8669,1.4945,0.76918,1.07631,0.97834,1,0.995,0.75861,0.94911,0.79026,0.97876,0.000202384,0.000202384,0.000202384
16,38.7562,1.57165,0.7691,1.09846,0.94421,1,0.995,0.76172,0.94576,0.88167,0.9791,0.0002109,0.0002109,0.0002109
17,40.8698,1.35511,0.77949,1.01958,0.97355,1,0.995,0.76406,0.9479,0.79451,0.98188,0.000218624,0.000218624,0.000218624
18,42.7628,1.27108,0.68101,0.94808,0.97355,1,0.995,0.76406,0.9479,0.79451,0.98188,0.000225556,0.000225556,0.000225556
19,44.6004,1.54519,0.74697,1.05166,1,0.99795,0.995,0.77436,0.94449,0.68402,0.98454,0.000231696,0.000231696,0.000231696
20,46.4525,1.41976,0.76428,0.99331,1,0.99795,0.995,0.77436,0.94449,0.68402,0.98454,0.000237044,0.000237044,0.000237044
21,48.4105,1.46026,0.76577,0.96862,0.99448,1,0.995,0.76088,0.94751,0.6282,0.98846,0.0002416,0.0002416,0.0002416
22,50.3077,1.37884,0.70708,0.94374,0.99448,1,0.995,0.76088,0.94751,0.6282,0.98846,0.000245364,0.000245364,0.000245364
23,52.3189,1.30271,0.66455,0.99643,0.99434,1,0.995,0.76214,0.95379,0.64473,0.99027,0.000248336,0.000248336,0.000248336
24,54.2139,1.18487,0.66378,1.005,0.99434,1,0.995,0.76214,0.95379,0.64473,0.99027,0.000250516,0.000250516,0.000250516
25,56.1806,1.32691,0.72279,0.96911,0.99642,1,0.995,0.76112,0.93049,0.72624,0.98356,0.000251904,0.000251904,0.000251904
