epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,9.97515,1.95624,3.31797,1.28672,0.72174,0.82552,0.81158,0.60118,0.97131,1.24717,1.04787,0.00012614,0.00012614,0.00012614
5,13.5765,1.90298,1.44053,1.13465,0.70552,0.72727,0.80956,0.6051,0.97727,1.24752,1.04918,0.00015624,0.00015624,0.00015624
6,17.2995,1.88476,1.26638,1.08133,0.88205,0.95455,0.97987,0.73833,0.94242,1.00767,1.00691,0.0001837,0.0001837,0.0001837
7,20.9393,1.74214,1.18957,1.16539,1,0.94217,0.98885,0.77017,0.91438,0.95245,0.96961,0.00020852,0.00020852,0.00020852
8,24.6355,1.77549,1.12265,1.12941,1,0.99394,0.995,0.74678,0.88934,1.3776,0.94608,0.0002307,0.0002307,0.0002307
9,26.794,1.52511,1.09897,1.03537,0.99108,1,0.995,0.76201,0.91919,0.90853,0.96871,0.00025024,0.00025024,0.00025024
10,28.99,1.696,0.91342,1.27198,0.95325,1,0.99326,0.7852,0.88327,0.65793,0.96875,0.00026714,0.00026714,0.00026714
11,32.6835,1.69638,1.80373,1.26741,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.0002814,0.0002814,0.0002814
12,34.8351,1.69197,2.10987,1.30533,0.9941,0.95455,0.9902,0.75591,0.93299,0.65779,0.98091,0.00029302,0.00029302,0.00029302
13,36.8764,1.65456,0.85612,1.03066,0.99557,0.95455,0.99167,0.75899,0.98333,0.65053,0.99427,0.000302,0.000302,0.000302
14,39.0912,1.47361,0.843,1.11117,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00030834,0.00030834,0.00030834
15,41.259,1.57614,0.82104,0.94371,1,0.99894,0.995,0.76169,0.97486,0.73204,0.99753,0.00031204,0.00031204,0.00031204
16,43.3886,1.28694,0.79372,1.07519,0.99727,1,0.995,0.74891,0.97128,0.69321,1.00308,0.0003131,0.0003131,0.0003131
17,45.565,1.46275,1.02142,1.1729,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.00031152,0.00031152,0.00031152
18,47.7785,1.43659,0.95012,1.13361,0.99609,1,0.995,0.72588,0.99276,0.64437,1.01869,0.0003073,0.0003073,0.0003073
19,49.964,1.49131,0.88352,0.98745,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00030044,0.00030044,0.00030044
20,52.1312,1.60103,0.82458,0.94488,0.99448,1,0.995,0.73841,0.93907,0.61476,0.99741,0.00029094,0.00029094,0.00029094
21,54.8882,1.73638,0.84612,1.04294,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.0002788,0.0002788,0.0002788
22,58.7653,1.45174,0.87206,1.18019,0.99672,1,0.995,0.792,0.8685,0.61848,0.96557,0.00026402,0.00026402,0.00026402
23,62.5292,1.34364,0.93684,0.96136,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.0002466,0.0002466,0.0002466
24,64.7112,1.5098,0.76493,0.97547,0.99643,1,0.995,0.7606,0.86459,0.70292,0.96136,0.00022654,0.00022654,0.00022654
25,66.8642,1.18944,0.6492,1.03011,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00020384,0.00020384,0.00020384
26,68.9665,1.31873,0.78693,1.01186,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.0001785,0.0001785,0.0001785
27,71.0502,1.19733,0.66512,1.02586,0.99551,1,0.995,0.78018,0.89177,0.68369,0.96938,0.00015052,0.00015052,0.00015052
